"Number","Name","Generation","About","Types__001","Types__002","Resistant__001","Resistant__002","Resistant__003","Resistant__004","Resistant__005","Resistant__006","Resistant__007","Resistant__008","Resistant__009","Resistant__010","Resistant__011","Resistant__012","Weaknesses__001","Weaknesses__002","Weaknesses__003","Weaknesses__004","Weaknesses__005","Weaknesses__006","Weaknesses__007","Fast Attack(s)__Name","Fast Attack(s)__Type","Fast Attack(s)__Damage","Special Attack(s)__Name","Special Attack(s)__Type","Special Attack(s)__Damage","Weight__Minimum","Weight__Maximum","Height__Minimum","Height__Maximum","Buddy Distance","Base Stamina","Base Attack","Base Defense","Base Flee Rate","Pokèmon Class","MYTHIC","LEGENDARY","Common Capture Area","North America","Western Europe","Australia, New Zealand","Asia","Previous evolution(s)__Number","Previous evolution(s)__Name","Next Evolution Requirements__Amount","Next Evolution Requirements__Name","Next evolution(s)__Number","Next evolution(s)__Name","MaxCP","MaxHP"
"146","Moltres","Generation I","Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.","Fire","Flying","Fire","Grass","Fighting","Bug","Steel","Fairy","","","","","","","Water","Electric","Rock","","","","","Ember","Fire","10","Fire Blast","Fire","100","52.5kg","67.5kg","1.75m","2.25m","5km (Big)","180 stamina points.","251 attack points.","184 defense points.","10% chance to flee.","This is a LEGENDARY Pokèmon.","","Pokèmon Class","","","","","","","","","","","","3028","3240"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flamethrower","Fire","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Heat Wave","Fire","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"147","Dratini","Generation I","Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.","Dragon","","Fire","Water","Electric","Grass","","","","","","","","","Ice","Dragon","Fairy","","","","","Dragon Breath","Dragon","6","Aqua Tail","Water","45","2.89kg","3.71kg","1.57m","2.02m","5km (Medium)","82 stamina points.","119 attack points.","94 defense points.","9% chance to flee.","","","","","","","","","","","25","Dratini candies","148","Dragonair","867","983"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Twister","Dragon","25","","","","","","","","","","","","","","","","","","","","","","149","Dragonite","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wrap","Normal","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"148","Dragonair","Generation I","Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from its crystals on its neck and tail.","Dragon","","Fire","Water","Electric","Grass","","","","","","","","","Ice","Dragon","Fairy","","","","","Dragon Breath","Dragon","6","Aqua Tail","Water","45","14.44kg","18.56kg","3.5m","4.5m","5km (Big)","122 stamina points.","163 attack points.","138 defense points.","6% chance to flee.","","","","","","","","","147","Dratini","100","Dratini candies","149","Dragonite","1593","1747"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dragon Pulse","Dragon","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wrap","Normal","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"149","Dragonite","Generation I","Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.","Dragon","Flying","Fire","Water","Grass","Fighting","Ground","Bug","","","","","","","Ice","Rock","Dragon","Fairy","","","","Dragon Breath","Dragon","6","Dragon Claw","Dragon","35","183.75kg","236.25kg","1.93m","2.48m","5km (Big)","182 stamina points.","263 attack points.","201 defense points.","5% chance to flee.","","","","","","","","","147","Dratini","","","","","3280","3500"
"","","","","","","","","","","","","","","","","","","","","","","","","","Steel Wing","Steel","15","Dragon Pulse","Dragon","65","","","","","","","","","","","","","","","","","","148","Dragonair","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hyper Beam","Normal","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"150","Mewtwo","Generation I","Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon's body, they failed to endow Mewtwo with a compassionate heart","Psychic","","Fighting","Psychic","","","","","","","","","","","Bug","Ghost","Dark","","","","","Confusion","Psychic","15","Hyper Beam","Normal","120","106.75kg","137.25kg","1.75m","2.25m","5km (Big)","212 stamina points.","330 attack points.","200 defense points.","10% chance to flee.","This is a LEGENDARY Pokèmon.","","Pokèmon Class","","","","","","","","","","","","3904","4144"
"","","","","","","","","","","","","","","","","","","","","","","","","","Psycho Cut","Psychic","7","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shadow Ball","Ghost","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"151","Mew","Generation I","Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.","Psychic","","Fighting","Psychic","","","","","","","","","","","Bug","Ghost","Dark","","","","","Pound","Normal","7","Blizzard","Ice","100","3.5kg","4.5kg","0.35m","0.45m","5km (Medium)","200 stamina points.","210 attack points.","210 defense points.","10% chance to flee.","This is a MYTHIC Pokèmon.","Pokèmon Class","","","","","","","","","","","","","3087","3299"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dragon Pulse","Dragon","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Earthquake","Ground","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fire Blast","Fire","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hyper Beam","Normal","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solar Beam","Grass","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunder","Electric","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"152","Chikorita","Generation II","In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.","Grass","","Water","Electric","Grass","Ground","","","","","","","","","Fire","Ice","Poison","Flying","Bug","","","Razor Leaf","Grass","15","Struggle","Normal","15","5.6kg","7.2kg","0.78m","1m","1km (Medium)","90 stamina points.","92 attack points.","122 defense points.","5% chance to flee.","","","","","","","","","","","25","Chikorita candies","153","Bayleef","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","","","","","","","","","","","","","","","","","","","","","","","","","154","Meganium","",""
"153","Bayleef","Generation II","Bayleef's neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.","Grass","","Water","Electric","Grass","Ground","","","","","","","","","Fire","Ice","Poison","Flying","Bug","","","Razor Leaf","Grass","15","Struggle","Normal","15","13.83kg","17.78kg","1.04m","1.34m","1km (Medium)","120 stamina points.","122 attack points.","155 defense points.","5% chance to flee.","","","","","","","","","152","Chikorita","100","Chikorita candies","154","Meganium","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"154","Meganium","Generation II","The fragrance of Meganium's flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe's fighting spirit.","Grass","","Water","Electric","Grass","Ground","","","","","","","","","Fire","Ice","Poison","Flying","Bug","","","Razor Leaf","Grass","15","Struggle","Normal","15","87.94kg","113.06kg","1.57m","2.02m","1km (Medium)","160 stamina points.","168 attack points.","202 defense points.","5% chance to flee.","","","","","","","","","152","Chikorita","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Vine Whip","Grass","7","","","","","","","","","","","","","","","","","","","","","153","Bayleef","","","","","",""
"155","Cyndaquil","Generation II","Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Struggle","Normal","15","6.91kg","8.89kg","0.45m","0.57m","1km (Medium)","78 stamina points.","116 attack points.","96 defense points.","5% chance to flee.","","","","","","","","","","","","","156","Quilava","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","","","","","","","","","","","","","","","","","","","","","","","","","157","Typhlosion","",""
"156","Quilava","Generation II","Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Struggle","Normal","15","16.63kg","21.38kg","0.78m","1m","1km (Medium)","116 stamina points.","158 attack points.","129 defense points.","5% chance to flee.","","","","","","","","","155","Cyndaquil","","","157","Typhlosion","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"157","Typhlosion","Generation II","Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Struggle","Normal","15","69.56kg","89.44kg","1.49m","1.91m","1km (Medium)","156 stamina points.","223 attack points.","176 defense points.","5% chance to flee.","","","","","","","","","155","Cyndaquil","","","","","",""
